"experiment","age","participant","condition","trial","rating"
"constrained","4_years",138,"conjunctive","mc",14.75
"constrained","4_years",138,"conjunctive","co",8
"constrained","4_years",138,"conjunctive","cm",18
"constrained","4_years",138,"conjunctive","cc",20
"constrained","6_years",26,"conjunctive","oo",0.5
"constrained","6_years",26,"conjunctive","om",1
"constrained","6_years",26,"conjunctive","oc",0
"constrained","6_years",26,"conjunctive","mo",4.75
"constrained","6_years",26,"conjunctive","mm",15.5
"constrained","6_years",26,"conjunctive","mc",19.25
"constrained","6_years",26,"conjunctive","co",7.25
"constrained","6_years",26,"conjunctive","cm",20
"constrained","6_years",26,"conjunctive","cc",20
"constrained","6_years",27,"conjunctive","oo",1.75
"constrained","6_years",27,"conjunctive","om",4
"constrained","6_years",27,"conjunctive","oc",3.75
"constrained","6_years",27,"conjunctive","mo",4.75
"constrained","6_years",27,"conjunctive","mm",14.25
"constrained","6_years",27,"conjunctive","mc",18.25
"constrained","6_years",27,"conjunctive","co",10
"constrained","6_years",27,"conjunctive","cm",18.5
"constrained","6_years",27,"conjunctive","cc",20
"constrained","6_years",28,"conjunctive","oo",0.5
"constrained","6_years",28,"conjunctive","om",1.25
"constrained","6_years",28,"conjunctive","oc",1.5
"constrained","6_years",28,"conjunctive","mo",2
"constrained","6_years",28,"conjunctive","mm",19.5
"constrained","6_years",28,"conjunctive","mc",18
"constrained","6_years",28,"conjunctive","co",3.75
"constrained","6_years",28,"conjunctive","cm",20
"constrained","6_years",28,"conjunctive","cc",20
"constrained","6_years",29,"conjunctive","oo",2.5
"constrained","6_years",29,"conjunctive","om",6
"constrained","6_years",29,"conjunctive","oc",1.25
"constrained","6_years",29,"conjunctive","mo",5.75
"constrained","6_years",29,"conjunctive","mm",14
"constrained","6_years",29,"conjunctive","mc",11.75
"constrained","6_years",29,"conjunctive","co",3.25
"constrained","6_years",29,"conjunctive","cm",12
"constrained","6_years",29,"conjunctive","cc",16.25
"constrained","6_years",30,"conjunctive","oo",0
"constrained","6_years",30,"conjunctive","om",0
"constrained","6_years",30,"conjunctive","oc",0
"constrained","6_years",30,"conjunctive","mo",7.5
"constrained","6_years",30,"conjunctive","mm",20
"constrained","6_years",30,"conjunctive","mc",20
"constrained","6_years",30,"conjunctive","co",10
"constrained","6_years",30,"conjunctive","cm",20
"constrained","6_years",30,"conjunctive","cc",20
"constrained","6_years",31,"conjunctive","oo",5
"constrained","6_years",31,"conjunctive","om",5.5
"constrained","6_years",31,"conjunctive","oc",8
"constrained","6_years",31,"conjunctive","mo",5
"constrained","6_years",31,"conjunctive","mm",12.5
"constrained","6_years",31,"conjunctive","mc",20
"constrained","6_years",31,"conjunctive","co",0
"constrained","6_years",31,"conjunctive","cm",20
"constrained","6_years",31,"conjunctive","cc",20
"constrained","6_years",32,"conjunctive","oo",0
"constrained","6_years",32,"conjunctive","om",0
"constrained","6_years",32,"conjunctive","oc",0
"constrained","6_years",32,"conjunctive","mo",10
"constrained","6_years",32,"conjunctive","mm",17.5
"constrained","6_years",32,"conjunctive","mc",18
"constrained","6_years",32,"conjunctive","co",10
"constrained","6_years",32,"conjunctive","cm",20
"constrained","6_years",32,"conjunctive","cc",20
"constrained","6_years",58,"conjunctive","oo",3.5
"constrained","6_years",58,"conjunctive","om",4.75
"constrained","6_years",58,"conjunctive","oc",3.75
"constrained","6_years",58,"conjunctive","mo",7
"constrained","6_years",58,"conjunctive","mm",15
"constrained","6_years",58,"conjunctive","mc",17.75
"constrained","6_years",58,"conjunctive","co",5
"constrained","6_years",58,"conjunctive","cm",20
"constrained","6_years",58,"conjunctive","cc",20
"constrained","6_years",61,"conjunctive","oo",0.5
"constrained","6_years",61,"conjunctive","om",5.75
"constrained","6_years",61,"conjunctive","oc",6.5
"constrained","6_years",61,"conjunctive","mo",6.5
"constrained","6_years",61,"conjunctive","mm",19
"constrained","6_years",61,"conjunctive","mc",14.25
"constrained","6_years",61,"conjunctive","co",7.75
"constrained","6_years",61,"conjunctive","cm",16.25
"constrained","6_years",61,"conjunctive","cc",18.5
"constrained","6_years",64,"conjunctive","oo",3.5
"constrained","6_years",64,"conjunctive","om",6
"constrained","6_years",64,"conjunctive","oc",5.75
"constrained","6_years",64,"conjunctive","mo",7.25
"constrained","6_years",64,"conjunctive","mm",16.5
"constrained","6_years",64,"conjunctive","mc",17.5
"constrained","6_years",64,"conjunctive","co",7.5
"constrained","6_years",64,"conjunctive","cm",20
"constrained","6_years",64,"conjunctive","cc",20
"constrained","6_years",67,"conjunctive","oo",0
"constrained","6_years",67,"conjunctive","om",7.5
"constrained","6_years",67,"conjunctive","oc",5.25
"constrained","6_years",67,"conjunctive","mo",7.25
"constrained","6_years",67,"conjunctive","mm",10.5
"constrained","6_years",67,"conjunctive","mc",11
"constrained","6_years",67,"conjunctive","co",7.5
"constrained","6_years",67,"conjunctive","cm",12.75
"constrained","6_years",67,"conjunctive","cc",12
"constrained","6_years",86,"conjunctive","oo",0
"constrained","6_years",86,"conjunctive","om",1.25
"constrained","6_years",86,"conjunctive","oc",3
"constrained","6_years",86,"conjunctive","mo",1.25
"constrained","6_years",86,"conjunctive","mm",19
"constrained","6_years",86,"conjunctive","mc",18.5
"constrained","6_years",86,"conjunctive","co",3
